CategoryDelivery,BrandID,Brand,total_observations,anomalies_count,median_ots,mad_ots,max_ots,max_z_score
Малая техника,360351,mijia,190,6,3401.8720000000003,1802.8820000000003,34717.476,17.369746883046144
Детские одежда и обувь,211631,mayoral,19,6,1634.921,215.01999999999998,8995.923,34.23403404334481
Товары для ухода за телом,213565,nivea,109,6,3225.861,1571.0769999999998,34594.37,19.966245448186186
Женская гигиена,209431,kotex,159,6,3581.885,1951.0380000000002,133310.185,66.49193916264059
Малая техника,201496,centek,59,6,4193.018,2018.0280000000002,78417.495,36.78069729458659
Средства для мытья посуды,237869,сомат,79,6,3728.934,1778.3840000000002,44312.244,22.82033014242143
Средства для мытья и ухода за руками,203714,duru,57,6,3605.04,1399.0720000000001,53679.162,35.79095428970059
Малая техника,212723,moulinex,133,6,3882.561,1945.207,46898.448000000004,22.113783777253527
Малая техника,221185,vitek,135,6,3488.237,1886.334,32661.056999999997,15.465352371319181
Обувь,239221,тофа,33,6,2798.391,621.9989999999998,28285.664,40.97638902956437
Малая техника,220328,tuvio,157,6,4579.856,2318.4249999999997,51543.296,20.256613865016124
Средства для волос,307362,чистая линия (косметика),116,6,3347.3275000000003,1418.2890000000002,51242.356,33.769583279571364
Обувь,211128,maison margiela,60,6,4188.695,2420.9934999999996,48784.26,18.42035717981069
Средства для умывания и ухода за лицом,212359,mixit,243,6,5004.318,3013.277,51178.722,15.323650630194305
Одежда,202048,colins,124,6,3688.8805,1718.2360000000003,36218.187,18.931803605558255
Одежда,205085,finn flare,118,6,3402.9425,1517.9950000000001,41810.028,25.30119367982108
Аудиотехника,281351,yamaha,179,6,10229.955,2343.7129999999997,75450.88799999999,27.828037391950293
Одежда,201007,burberry,78,6,3480.8385,1853.0835,191290.828,101.34998746683569
Аудиотехника,216114,realme,276,6,5924.567,3561.326,88427.456,23.166340009311142
Средства для умывания и ухода за лицом,221015,vichy,56,6,2886.3064999999997,1367.1085000000003,27134.892,17.73713315365971
Одежда,214407,outventure,128,6,3389.4575,1345.9475,27252.952,17.72988508095598
Аудиотехника,225603,вконтакте,342,6,4386.662,2536.3810000000003,40493.37,14.235522186926962
Детское питание,238821,тема,73,6,2672.148,1045.276,16814.019,13.529317615634529
Средства для умывания и ухода за лицом,307362,чистая линия (косметика),77,6,3312.699,1524.8310000000001,55209.76,34.03463137882165
Смартфоны,205326,fly (электроника),37,6,4361.26,1795.3570000000004,35201.512,17.177782468890584
Корм для кошек,204837,farmina,46,6,2735.3175,1017.3100000000001,20574.346,17.535489182255162
Подгузники,211287,manu (подгузники),123,6,4424.448,2142.7370000000005,46944.516,19.8438109763354
Одежда,215722,puma,130,6,3402.2015,1851.7894999999999,29468.334,14.076185495165623
Одежда,218984,supreme (одежда),145,6,3735.203,1585.656,30169.08,16.670625280640948
Смартфоны,199606,baseus,61,6,2467.053,1120.791,62802.306,53.832742232940845
Крупная техника,199462,ballu,144,6,4201.9735,2507.5815000000002,33126.816,11.53495609215493
Аудиотехника,199821,behringer,122,6,5135.928,3284.2840000000006,645349.152,194.9323578594299
